URL,Website Summary,total_funding_crunchbase,employee_count_pdl,pdl_founded
rembrain.ai,"RemBrain Cloud is a cloud platform that provides vendors with the tools and resources to teach robots to be flexible and solve non-standard tasks. Our cloud platform offers a range of features including open source solutions, ML retraining, 24/7 supervision, and compatibility with mobile, interactive, and manipulator robots. We provide solutions for bin packing, placing, assembling, logistics, and agriculture. Contact us to make your robot smarter!'",,,2021
slauth.io,"Slauth.io simplifies the process of creating and maintaining custom IAM roles and policies for AWS services. Our solution offers automated permission analysis, custom IAM role and policy generation, seamless integration with Github, improved logs for a complete view of user activity and events, versioning for better control and early remediation actions, auditing and reporting features, and more. With Slauth.io, teams can focus on delivery and eliminate security risks while streamlining the process of maintaining custom IAM roles and policies. Sign-up today to centralize your policies and automate, secure and govern your IAM.'",500000,,2022
buntinglabs.com,"Bunting Labs provides AI-powered map digitization solutions that automate the process of georeferencing and extracting features from PDF maps. Our software enables GIS Analysts, Civil Engineers, and CAD Drafters to quickly and accurately digitize maps and import utility lines into GIS and CAD software. We also provide 3D modeling capabilities for AML reclamation projects. Bunting Labs is trusted by the US Federal Government and other international customers. '",0,,2022
quindar.space,"Quindar is an innovative cloud service that offers mission management as a service, allowing customers to go to market faster and focus on driving their mission's value prop with automated workflows. The platform allows customers to design, test, and operate satellites with the click of a button, while scaling with affordability. Sign up today to accelerate your schedule and get started this week.'",2500000,,2022
enot.ai,"Enot.ai is an AI-powered technology that enables users to reduce the computing power requirements of neural networks without compromising performance or accuracy. With Enot.ai, users are able to reduce development costs and time, cloud processing costs, power consumption, and speed up their neural networks. Enot.ai offers three products: Enot Lite, Enot Pro, and Enot Zoo, allowing users to compress and accelerate any neural network quickly and easily.'",0,3,2021
beyondmath.com,"BeyondMath is a company that uses artificial intelligence to revolutionise the way we design, build and interact with the world. Our product, Digital Windtunnel, provides fast assessment of designs, optimisation by AI and incorporation of real-world data into simulations, providing more accurate and reliable results. We are transforming how engineering design is done.'",,,2021
axolotlbiosciences.com,"Axolotl Biosciences is a biotechnology company that provides high-quality reagents for 3D printing human tissue models. Our Bioink Technology is designed to be compatible with multiple bioprinters, and has been beta tested by industry leaders. Our team of experts are dedicated to offering a product that reduces time and labor costs and is designed for use with fragile cells. We have been the recipients of various awards and recognition, and have had our research published in multiple scientific journals. Our mission is to make 3D bioprinting of neural tissues derived from human induced pluripotent stem cells easily accessible to scientists and engineers.",0,12,2020
clerkenwellhealth.com,"Clerkenwell Health is a clinical development organization that reimagines how corporations and patients participate in clinical trials. We offer services such as patient recruitment, clinical trial management and data collection. Our team of experts has a background in clinical research, healthcare, digital health and patient engagement. We provide valuable information and resources to our clients, such as contact information, news, clinical trial information, investor insights and more. Join our newsletter to stay up to date with the latest news from Clerkenwell Health.'",2326604,15,2020
orbitalmaterials.com,"Orbital Materials is a company that develops and commercialises innovative technologies to keep Earth our home forever. Our solutions focus on clean air, water and energy with the help of AI and generative language models. We are committed to providing sustainable fuels, carbon capture and removal of harmful chemicals from the environment. Our team of experts is devoted to creating novel solutions to ensure Earth remains our home for the future.'",,,2022
lets-unify.ai,"Ivy is a tool that accelerates Artificial Intelligence (AI) development, allowing developers to quickly prototype and deploy AI models with just one line of code. It supports the integration of multiple frameworks, libraries, infrastructures, and hardware, providing universal access and improved performance for models. Utilizing Ivy, developers can easily leverage existing models, libraries, and frameworks from Pytorch, Jax, Tensorflow, NumPy, and Haiku into their projects, making it easy to build and deploy custom AI solutions.'",500000,12,2021
gantry.io,"Gantry is a cloud-native platform that helps organizations improve their ML products with analytics, alerting, and human feedback. Gantry's SDK provides easy access to production data and metrics, and its dashboard provides analytics, exploration, and visualization to help organizations detect concerning model behavior before it becomes a problem. Gantry is SOC 2 compliant and built to scale to terabytes of data.'",0,2,2020
schemathesis.io,"Schemathesis.io is an API fuzzing platform that helps developers to focus on delivering value with their APIs instead of debugging it. It allows developers to run thousands of test scenarios based on their API specification, discover application crashes, keep up-to-date API documentation, get detailed failure reports with a single cURL command for instant debugging, integrate into their CI pipelines, check complex workflows automatically, sync and update their tests, and reveal bugs quickly. It is trusted by industry leaders such as RedHat and used by teams worldwide.'",,,2021
